Year,County,Total Cost,Arson,Campfire,Debris Burning,Electrical Power,Equipment Use,Lightning,Miscellaneous,Playing With Fire,Railroad,Smoking,Undetermined,Vehicle
2015,Alameda,1826231,0,0,0,85350,3756,4275,400,0,0,0,1675450,57000
2015,Amador,1000000709,0,0,180,999999999,0,0,0,0,0,0,530,0
2015,Butte,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Calaveras,139494,0,0,19600,8625,13000,8000,10110,100,0,0,64643,15416
2015,Colusa,6551,0,0,0,6500,0,0,50,0,0,0,1,0
2015,Contra Costa,59230,1420,0,0,5000,47950,0,3500,0,0,0,1360,0
2015,Del Norte,500,0,500,0,0,0,0,0,0,0,0,0,0
2015,El Dorado,37127,0,100,395,0,5770,2,14050,120,0,14000,2540,150
2015,Fresno,11675,900,0,0,2300,0,500,375,0,0,0,1600,6000
2015,Glenn,250,0,0,0,0,0,0,250,0,0,0,0,0
2015,Humboldt,8783968,8000060,0,2,2,55000,57400,571002,0,0,0,100500,2
2015,Inyo,15819560,0,0,0,3000,0,0,0,0,0,0,15811560,5000
2015,Kings,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Lake,2017984089,1000,0,520,2000000198,7755841,0,225000,0,0,500,10001030,0
2015,Lassen,2510,0,0,0,0,400,1010,0,0,0,0,1000,100
2015,Madera,101321,400,600,35000,56020,0,0,0,0,0,0,100,9201
2015,Mariposa,1000,500,200,0,0,0,0,0,0,0,0,300,0
2015,Mendocino,328014,3000,0,3870,11101,12500,0,272381,0,0,40,910,24212
2015,Merced,701920,600,0,0,0,0,100000,600000,0,0,0,1300,20
2015,Modoc,4,0,0,0,0,0,4,0,0,0,0,0,0
2015,Monterey,10005710,10000000,0,500,1200,100,200,1500,0,0,200,0,2010
2015,Napa,277310,0,0,0,50000,0,0,7000,0,0,0,220310,0
2015,Nevada,42402,0,0,10000,400,20000,0,0,2,0,0,12000,0
2015,Placer,289354,0,0,231001,16150,7000,2700,1000,2,0,0,15300,16201
2015,Plumas,300,0,0,0,0,0,300,0,0,0,0,0,0
2015,Riverside,35148,0,100,37,11,24000,0,1000,0,0,0,8500,1500
2015,Sacramento,100,0,0,0,0,0,0,0,0,0,0,0,100
2015,San Benito,15620,0,0,0,5000,10620,0,0,0,0,0,0,0
2015,San Bernardino,66102,0,0,0,0,200,0,2,65000,0,0,900,0
