"Incident.Number","County","Fire.Name","Date.Start","Date.Contained","Origin.DPA","DPA.Type","Acres.Burned","Vegetation.Type","Cause","Structures.Destroyed","Structures.Damaged","Fatalities.Fire","Fatalities.Civil","Year","Month","Timber","Brush","Woodland","Grass","Agricultural","Structures.All","Fatalities.All"
"BDU-1662","INYO","ROUND","2/6/15","2/13/15","CAL FIRE","State and Contract Counties ",7000,"B","UNDETERMINED",43,5,NA,NA,"2015",2,0,1,0,0,0,48,NA
"RRU-44605","RIVERSIDE","HIGHWAY","4/18/15","4/24/15","CAL FIRE","State and Contract Counties ",1049,"TG","EQUIPMENT",NA,NA,NA,NA,"2015",4,1,0,0,1,0,NA,NA
"MMU-8812","MERCED","FOREBAY","5/11/15","5/12/15","CAL FIRE","State and Contract Counties ",692,"G","VEHICLE",NA,NA,NA,NA,"2015",5,0,0,0,1,0,NA,NA
"MMU-11662","MADERA","CORRINE","6/18/15","6/24/15","CAL FIRE","State and Contract Counties ",920,"TBG","ELECTRICAL POWER",2,NA,NA,NA,"2015",6,1,1,0,1,0,NA,NA
"SLU-6113","SAN LUIS OBISPO","PARKHILL","6/20/15","6/20/15","CAL FIRE","State and Contract Counties ",1791,"B","VEHICLE",18,3,NA,NA,"2015",6,0,1,0,0,0,21,NA
"AEU-17193","SACRAMENTO","IONE","7/2/15","7/5/15","CAL FIRE","State and Contract Counties ",357,"G","ARSON",NA,NA,NA,NA,"2015",7,0,0,0,1,0,NA,NA
"SKU-5078","SISKIYOU","YORK","7/4/15","7/6/15","CAL FIRE","State and Contract Counties ",395,"G","LIGHTNING",NA,NA,NA,NA,"2015",7,0,0,0,1,0,NA,NA
"MMU-13970","MERCED","MCCABE","7/18/15","7/22/15","CAL FIRE","State and Contract Counties ",1600,"G","LIGHTNING",NA,NA,NA,NA,"2015",7,0,0,0,1,0,NA,NA
"TUU-383","TULARE","TRIPLE 3","7/21/15","7/21/15","CAL FIRE","State and Contract Counties ",430,"G","LIGHTNING",NA,NA,NA,NA,"2015",7,0,0,0,1,0,NA,NA
"LNU-6678","NAPA","WRAGG","7/22/15","8/6/15","CAL FIRE","State and Contract Counties ",8051,"B","VEHICLE",2,5,NA,NA,"2015",7,0,1,0,0,0,7,NA
"NEU-17851","NEVADA","LOWELL","7/25/15","8/12/15","CAL FIRE","State and Contract Counties ",2304,"TG","UNDETERMINED",3,1,NA,NA,"2015",7,1,0,0,1,0,4,NA
"BTU-10917","BUTTE","SWEDES","7/29/15","8/16/15","CAL FIRE","State and Contract Counties ",400,"B","DEBRIS BURNING",16,NA,NA,NA,"2015",7,0,1,0,0,0,NA,NA
"LNU-6984","LAKE","ROCKY","7/29/15","8/14/15","CAL FIRE","State and Contract Counties ",69636,"TBG","EQUIPMENT",96,8,NA,NA,"2015",7,1,1,0,1,0,104,NA
"HUU-5606","HUMBOLDT","HUMBOLDT COMPLEX","7/30/15","8/21/15","CAL FIRE","State and Contract Counties ",4883,"T","LIGHTNING",7,NA,NA,NA,"2015",7,1,0,0,0,0,NA,NA
"MMU-14907","MERCED","CREEK","7/31/15","7/31/15","CAL FIRE","State and Contract Counties ",1450,"G","VEHICLE",NA,NA,NA,NA,"2015",7,0,0,0,1,0,NA,NA
"LNU-7410","LAKE","JERUSALEM","8/9/15","8/25/15","CAL FIRE","State and Contract Counties ",25118,"B","UNDETERMINED",27,NA,NA,NA,"2015",8,0,1,0,0,0,NA,NA
"RRU-90069","RIVERSIDE","ANZA","8/10/15","8/15/15","CAL FIRE","State and Contract Counties ",500,"B","HUMAN",NA,NA,NA,NA,"2015",8,0,1,0,0,0,NA,NA
"SLU-8555","SAN LUIS OBISPO","CUESTA","8/16/15","9/3/15","CAL FIRE","State and Contract Counties ",2446,"G","VEHICLE",1,NA,NA,NA,"2015",8,0,0,0,1,0,NA,NA
"SCU-5524","ALAMEDA","TESLA","8/19/15","8/25/15","CAL FIRE","State and Contract Counties ",2850,"G","UNDETERMINED",1,NA,NA,NA,"2015",8,0,0,0,1,0,NA,NA
"LNU-8268","LAKE","ELK","9/2/15","9/6/15","CAL FIRE","State and Contract Counties ",700,"B","EQUIPMENT",NA,NA,NA,NA,"2015",9,0,1,0,0,0,NA,NA
"AEU-24918","AMADOR","BUTTE","9/9/15","10/23/15","CAL FIRE","State and Contract Counties ",70868,"TBG","ELECTRICAL POWER",965,NA,NA,2,"2015",9,1,1,0,1,0,NA,NA
"BTU-13363","BUTTE","LUMPKIN","9/11/15","9/21/15","CAL FIRE","State and Contract Counties ",1040,"TB","ARSON",NA,NA,NA,NA,"2015",9,1,1,0,0,0,NA,NA
"LNU-8670","LAKE","VALLEY","9/12/15","10/15/15","CAL FIRE","State and Contract Counties ",76067,"TBG","ELECTRICAL POWER",NA,93,NA,4,"2015",9,1,1,0,1,0,NA,NA
"BEU-4217","MONTEREY","TASSAJARA","9/19/15","9/29/15","CAL FIRE","State and Contract Counties ",1086,"B","UNDETERMINED",20,1,NA,NA,"2015",9,0,1,0,0,0,21,NA
"BTU-14554","BUTTE","MERIDIAN","10/3/15","10/4/15","CAL FIRE","State and Contract Counties ",860,"G","EQUIPMENT",NA,NA,NA,NA,"2015",10,0,0,0,1,0,NA,NA
"BEU-4582","SAN BENITO","CIENEGA","10/12/15","10/16/15","CAL FIRE","State and Contract Counties ",690,"TB","ELECTRICAL POWER",NA,NA,NA,NA,"2015",10,1,1,0,0,0,NA,NA
"OVD-107","MONO","VAN DYKE","2/6/15","2/10/15","USFS","Other Agencies",509,"BG","UNDETERMINED",NA,NA,NA,NA,"2015",2,0,1,0,1,0,NA,NA
