Incident Number,County,Fire Name,Date Start,Date Contained,Origin DPA,DPA Type,Acres Burned,Vegetation Type,Cause,Structures Destroyed,Structures Damaged,Fatalities Fire,Fatalities Civil
BDU-1662,INYO,ROUND,2/6/15,2/13/15,CAL FIRE,State and Contract Counties ,7000,B,UNDETERMINED,43,5,,
RRU-44605,RIVERSIDE,HIGHWAY,4/18/15,4/24/15,CAL FIRE,State and Contract Counties ,1049,TG,EQUIPMENT,,,,
MMU-8812,MERCED,FOREBAY,5/11/15,5/12/15,CAL FIRE,State and Contract Counties ,692,G,VEHICLE,,,,
MMU-11662,MADERA,CORRINE,6/18/15,6/24/15,CAL FIRE,State and Contract Counties ,920,TBG,ELECTRICAL POWER,2,,,
SLU-6113,SAN LUIS OBISPO,PARKHILL,6/20/15,6/20/15,CAL FIRE,State and Contract Counties ,1791,B,VEHICLE,18,3,,
AEU-17193,SACRAMENTO,IONE,7/2/15,7/5/15,CAL FIRE,State and Contract Counties ,357,G,ARSON,,,,
SKU-5078,SISKIYOU,YORK,7/4/15,7/6/15,CAL FIRE,State and Contract Counties ,395,G,LIGHTNING,,,,
MMU-13970,MERCED,MCCABE,7/18/15,7/22/15,CAL FIRE,State and Contract Counties ,1600,G,LIGHTNING,,,,
TUU-383,TULARE,TRIPLE 3,7/21/15,7/21/15,CAL FIRE,State and Contract Counties ,430,G,LIGHTNING,,,,
LNU-6678,NAPA,WRAGG,7/22/15,8/6/15,CAL FIRE,State and Contract Counties ,8051,B,VEHICLE,2,5,,
NEU-17851,NEVADA,LOWELL,7/25/15,8/12/15,CAL FIRE,State and Contract Counties ,2304,TG,UNDETERMINED,3,1,,
BTU-10917,BUTTE,SWEDES,7/29/15,8/16/15,CAL FIRE,State and Contract Counties ,400,B,DEBRIS BURNING,16,,,
LNU-6984,LAKE,ROCKY,7/29/15,8/14/15,CAL FIRE,State and Contract Counties ,69636,TBG,EQUIPMENT,96,8,,
HUU-5606,HUMBOLDT,HUMBOLDT COMPLEX,7/30/15,8/21/15,CAL FIRE,State and Contract Counties ,4883,T,LIGHTNING,7,,,
MMU-14907,MERCED,CREEK,7/31/15,7/31/15,CAL FIRE,State and Contract Counties ,1450,G,VEHICLE,,,,
LNU-7410,LAKE,JERUSALEM,8/9/15,8/25/15,CAL FIRE,State and Contract Counties ,25118,B,UNDETERMINED,27,,,
RRU-90069,RIVERSIDE,ANZA,8/10/15,8/15/15,CAL FIRE,State and Contract Counties ,500,B,HUMAN,,,,
