Fire Name,Acres,Ignition Date,Fire Type,Fire ID
MITTRY,1066,2003-03-12,Wildfire,AZ3286111444920030312
ISLAND LAKE,2021,2013-05-19,Wildfire,AZ3302711459320130519
THREE SLASHES,4581,2011-08-29,Wildfire,AZ3327111471120110829
CIBOLA,4703,2006-07-17,Wildfire,AZ3332311470520060717
TOPOCK,1422,2016-04-06,Wildfire,AZ3476111452420160406
BORDER 50,3552,2005-10-05,Wildfire,CA3257711672220051005
MINE,1031,1986-09-04,Wildfire,CA3258111676819860904
BORDER,1680,2004-09-13,Wildfire,CA3258511651420040913
GLORIA,1625,1999-10-08,Wildfire,CA3258911644319991008
FOREST GATE,1150,1995-07-29,Wildfire,CA3259211648919950729
OTAY 322,10205,1996-10-22,Wildfire,CA3259211687119961022
SYCAMORE,9753,1995-08-30,Wildfire,CA3260011673619950830
DOGPATCH 2,1188,1989-07-05,Wildfire,CA3260211651219890705
OTAY,2229,1994-10-09,Wildfire,CA3260411692519941009
SUMMIT,1045,1998-07-17,Wildfire,CA3260511673319980717
BORDER 6,5301,2012-05-17,Wildfire,CA3260811624320120517
SHOCKEY,3522,1999-10-03,Wildfire,CA3260811640619991003
BELL,3700,2001-12-08,Wildfire,CA3260811660120011208
BORDER 3,7958,2016-06-19,Wildfire,CA3260811664120160619
INKOPAH,5037,2007-06-05,Wildfire,CA3260911605720070605
BARRETT,1262,1991-06-17,Wildfire,CA3261711666919910617
UNNAMED,4249,1993-07-18,Unknown,CA3262011697119930718
MINE/OTAY,37232,2003-10-26,Wildfire,CA3262111684920031026
BARRETT,1534,2000-06-29,Wildfire,CA3263311666820000629
HARRIS,90443,2007-10-21,Wildfire,CA3264611677120071021
SHOCKEY,2667,2012-09-23,Wildfire,CA3264811636520120923
GATE,2265,2017-05-20,Wildfire,CA3265211682420170520
PROCTOR,3021,1984-04-21,Wildfire,CA3268211688619840421
HONEY,3174,1996-01-10,Wildfire,CA3268311680619960110
PROCTOR,1548,1999-09-30,Wildfire,CA3269211691819990930
MILLER,7809,1985-06-30,Wildfire,CA3269911692719850630
OLD 2,1058,2012-06-17,Wildfire,CA3271011638520120617
HORSE,16719,2006-07-23,Wildfire,CA3271711662220060723
MANZANITA,1091,1992-07-19,Wildfire,CA3274911631019920719
PINE,2302,2007-09-12,Wildfire,CA3278611653420070912
LOVELAND,1941,1992-07-18,Wildfire,CA3278911673019920718
VIEJAS,10942,2001-01-03,Wildfire,CA3279711673520010103
UNNAMED,1847,1989-06-21,Wildfire,CA3281011635519890621
ASSIST 78,1025,1988-09-03,Wildfire,CA3282111703419880903
TROY,1279,2002-06-19,Wildfire,CA3282611639220020619
LAGUNA II,3042,1989-05-29,Wildfire,CA3284911447519890529
THING 2,4650,1989-07-09,Wildfire,CA3285711638619890709
ASSIST 79,2049,1987-06-18,Wildfire,CA3289011701019870618
ROCOSO,2233,1994-01-12,Wildfire,CA3289211698019940112
MONTE,1013,2010-08-21,Wildfire,CA3289411681720100821
LAGUNA 100,5143,1999-08-14,Wildfire,CA3289611642519990814
SYCAMORE,2141,1995-07-16,Wildfire,CA3291011701419950716
EL MONTE,8482,1995-08-27,Wildfire,CA3291411678219950827
SYCAMORE,1012,1985-07-27,Wildfire,CA3293211694719850727
CEDAR,268362,2003-10-25,Wildfire,CA3293911676620031025
BUTTERFIELD,7165,1995-06-19,Wildfire,CA3294111643119950619
BOWLES,3073,1984-09-06,Wildfire,CA3294511693519840906
CAPTAIN,1824,1986-07-13,Wildfire,CA3294811674719860713
WILDCAT,3622,1998-08-31,Wildfire,CA3296811685119980831
POWAY,1738,1995-08-31,Wildfire,CA3297311695019950831
EAGLE,5788,1993-05-09,Wildfire,CA3297911674819930509
