"Year","County","Cause","Acres","destroyed","damaged","dead_fire","dead_civil","value"
2015,"ALAMEDA","UNDETERMINED",2850,1,0,0,0,1675450
2015,"AMADOR","ELECTRICAL POWER",70868,965,0,0,2,999999999
2015,"BUTTE","ARSON",1040,0,0,0,0,0
2015,"BUTTE","DEBRIS BURNING",400,16,0,0,0,0
2015,"DEL NORTE","LIGHTNING",37870,0,0,0,0,0
2015,"FRESNO","LIGHTNING",151623,4,0,0,0,500
2015,"HUMBOLDT","LIGHTNING",40558,9,0,0,0,57400
2015,"INYO","UNDETERMINED",7000,43,5,0,0,15811560
2015,"LAKE","ELECTRICAL POWER",76067,0,93,0,4,2000000198
2015,"LAKE","UNDETERMINED",25118,27,0,0,0,10001030
2015,"MADERA","ELECTRICAL POWER",920,2,0,0,0,56020
2015,"MADERA","UNDETERMINED",5702,0,0,0,0,100
2015,"MADERA","VEHICLE",500,0,0,0,0,9201
2015,"MARIPOSA","UNDETERMINED",415,0,0,0,0,300
2015,"MERCED","LIGHTNING",1600,0,0,0,0,1e+05
2015,"MERCED","VEHICLE",2142,0,0,0,0,20
2015,"MODOC","LIGHTNING",4863,0,0,1,0,4
2015,"MONTEREY","UNDETERMINED",2618,20,1,0,0,0
2015,"NAPA","VEHICLE",8051,2,5,0,0,0
2015,"NEVADA","UNDETERMINED",2304,3,1,0,0,12000
2015,"SACRAMENTO","ARSON",357,0,0,0,0,0
2015,"SAN BENITO","ELECTRICAL POWER",690,0,0,0,0,5000
2015,"SAN BERNARDINO","UNDETERMINED",35609,27,5,0,0,900
2015,"SAN DIEGO","UNDETERMINED",6825,0,0,0,0,88050
2015,"SAN LUIS OBISPO","VEHICLE",4237,19,3,0,0,924300
2015,"SISKIYOU","LIGHTNING",395,0,0,0,0,1185
2015,"TRINITY","LIGHTNING",145501,7,0,0,0,0
2015,"TRINITY","UNDETERMINED",36499,12,0,0,0,0
2015,"TULARE","LIGHTNING",7410,0,0,0,0,1000
2016,"ALPINE","LIGHTNING",655,0,0,0,0,0
2016,"BUTTE","PLAYING WITH FIRE",520,0,0,0,0,0
2016,"BUTTE","VEHICLE",800,3,0,0,0,0
2016,"CALAVERAS","ELECTRICAL POWER",310,1,0,0,0,1400
2016,"CALAVERAS","VEHICLE",450,0,1,0,0,90156
2016,"FRESNO","ARSON",9291,11,1,0,0,758025
2016,"FRESNO","LIGHTNING",800,0,0,0,0,0
2016,"FRESNO","UNDETERMINED",5044,0,0,0,0,17200
2016,"HUMBOLDT","ARSON",599,3,0,0,0,347901
2016,"INYO","UNDETERMINED",369,0,0,0,0,350
2016,"LAKE","ARSON",3929,300,28,0,0,105260000
2016,"LASSEN","UNDETERMINED",2575,7,0,0,0,4e+05
2016,"MARIPOSA","LIGHTNING",1001,0,0,0,0,0
2016,"MERCED","VEHICLE",1246,0,0,0,0,14600
2016,"MODOC","RAILROAD",380,0,0,0,0,2
2016,"MODOC","UNDETERMINED",2722,0,0,0,0,150000
2016,"MONO","LIGHTNING",2819,0,0,0,0,0
2016,"MONO","UNDETERMINED",6097,5,0,0,0,0
2016,"MONTEREY","CAMPFIRE",132127,68,5,1,0,10345582
2016,"MONTEREY","DEBRIS BURNING",7752,0,0,0,0,776200
2016,"MONTEREY","UNDETERMINED",5520,1,0,0,0,84400
2016,"RIVERSIDE","UNDETERMINED",1470,1,0,0,0,2000
2016,"SACRAMENTO","VEHICLE",372,0,0,0,0,20000
2016,"SAN BERNARDINO","UNDETERMINED",44384,321,8,0,0,5000
2016,"SAN DIEGO","UNDETERMINED",8854,16,3,0,2,3833850
2016,"SAN LUIS OBISPO","UNDETERMINED",5715,0,0,0,0,7300
2016,"SAN LUIS OBISPO","VEHICLE",46235,70,8,0,0,12162751
2016,"SANTA CLARA","UNDETERMINED",4474,28,1,0,0,220002
2016,"SHASTA","ARSON",303,1,1,0,0,52000
2016,"SISKIYOU","ELECTRICAL POWER",710,10,1,0,0,286411
2016,"SISKIYOU","UNDETERMINED",36727,14,0,0,0,4800
2016,"SONOMA","UNDETERMINED",1547,0,0,0,0,503902
2016,"TEHAMA","ELECTRICAL POWER",464,0,0,0,0,371000
2016,"TULARE","LIGHTNING",9275,0,0,0,0,500
2016,"TULARE","UNDETERMINED",2097,0,0,0,0,2
2016,"TUOLUMNE","VEHICLE",1080,0,0,0,0,4550
2016,"YOLO","UNDETERMINED",5731,2,0,0,0,5e+06
2016,"YUBA","MISCELLANEOUS",389,0,0,0,0,0
2017,"BUTTE","CAMPFIRE",4016,55,0,0,0,7400000
2017,"BUTTE","ELECTRICAL POWER",20684,171,13,0,0,3973705
2017,"DEL NORTE","UNDETERMINED",21377,0,0,0,0,1002
2017,"EL DORADO","UNDETERMINED",426,0,0,0,0,500454
2017,"FRESNO","DEBRIS BURNING",357,4,0,0,0,374000
2017,"FRESNO","ELECTRICAL POWER",10000,0,0,0,0,13900
2017,"FRESNO","EQUIPMENT USE",6181,0,0,0,0,1800
2017,"FRESNO","UNDETERMINED",2312,0,0,0,0,25000
2017,"KINGS","EQUIPMENT USE",48660,1,0,0,0,0
2017,"LAKE","ELECTRICAL POWER",2207,162,8,0,0,35110003
2017,"LASSEN","LIGHTNING",6902,0,0,0,0,301
2017,"LASSEN","UNDETERMINED",83733,8,3,0,0,1
2017,"MADERA","ELECTRICAL POWER",1520,7,4,0,0,2072905
2017,"MADERA","LIGHTNING",635,0,0,0,0,200
2017,"MADERA","UNDETERMINED",12407,8,1,1,0,500
2017,"MADERA","VEHICLE",680,4,0,0,0,0
2017,"MARIPOSA","LIGHTNING",6370,0,0,0,0,0
2017,"MARIPOSA","UNDETERMINED",7000,0,0,0,0,51608
2017,"MARIPOSA","VEHICLE",558,0,0,0,0,562000
